Date,Open,High,Low,Close,Volume,OpenInt
24-05-2011,18.154,18.222,18.137,18.197,51698,0
25-05-2011,18.214,18.214,18.094,18.125,85054,0
26-05-2011,18.078,18.258,18.078,18.189,65736,0
27-05-2011,17.981,17.981,17.827,17.856,147417,0
31-05-2011,17.862,17.93,17.642,17.708,144946,0
01-06-2011,17.708,17.819,17.708,17.744,103167,0
02-06-2011,17.708,17.783,17.685,17.708,83109,0
03-06-2011,17.708,17.811,17.612,17.767,72482,0
06-06-2011,17.723,17.843,17.679,17.744,48111,0
07-06-2011,17.835,17.835,17.731,17.753,65041,0
08-06-2011,17.805,17.805,17.462,17.498,93393,0
09-06-2011,17.404,17.462,17.262,17.404,140127,0
10-06-2011,17.375,17.53,17.36,17.471,65790,0
13-06-2011,17.523,17.59,17.492,17.558,102556,0
14-06-2011,17.552,17.693,17.552,17.664,112268,0
15-06-2011,17.634,17.856,17.634,17.708,191694,0
16-06-2011,17.612,17.738,17.077,17.144,244486,0
17-06-2011,17.276,17.42,17.183,17.262,63864,0
20-06-2011,17.197,17.203,16.901,16.92,94180,0
21-06-2011,16.892,17.149,16.885,17.084,191658,0
22-06-2011,17.107,17.256,17.077,17.21,110639,0
23-06-2011,17.144,17.308,17.025,17.248,116386,0
24-06-2011,17.226,17.276,17.077,17.137,68228,0
27-06-2011,17.115,17.183,17.018,17.047,81425,0
28-06-2011,17.077,17.36,17.077,17.336,49949,0
29-06-2011,17.344,17.389,17.27,17.294,178576,0
30-06-2011,17.27,17.618,17.27,17.53,91555,0
01-07-2011,17.492,17.627,17.457,17.498,54542,0
05-07-2011,17.498,17.634,17.498,17.634,86958,0
06-07-2011,17.567,17.716,17.488,17.716,62844,0
07-07-2011,17.679,17.716,17.65,17.679,52459,0
08-07-2011,17.582,17.783,17.582,17.767,41533,0
11-07-2011,17.702,17.744,17.567,17.656,81401,0
12-07-2011,17.558,17.634,17.411,17.439,76925,0
13-07-2011,17.396,17.517,17.396,17.439,70263,0
14-07-2011,17.447,17.447,17.197,17.226,90000,0
15-07-2011,17.226,17.42,17.137,17.42,60659,0
18-07-2011,17.294,17.3,17.137,17.137,68391,0
19-07-2011,17.137,17.248,16.913,17.218,128760,0
20-07-2011,17.294,17.294,17.071,17.256,65516,0
21-07-2011,17.315,17.471,17.248,17.27,192800,0
22-07-2011,17.308,17.389,17.174,17.203,42628,0
25-07-2011,17.174,17.183,16.901,16.901,55504,0
26-07-2011,16.966,17.329,16.966,17.077,81621,0
27-07-2011,16.966,17.084,16.818,16.877,69389,0
28-07-2011,16.81,16.913,16.737,16.781,55476,0
29-07-2011,16.788,16.788,16.388,16.627,85188,0
01-08-2011,16.737,16.966,16.737,16.818,75308,0
02-08-2011,16.757,16.927,16.757,16.832,64521,0
03-08-2011,16.781,16.877,16.737,16.832,85316,0
04-08-2011,16.773,16.796,15.526,15.829,176240,0
05-08-2011,15.771,15.771,13.654,15.013,365791,0
08-08-2011,14.099,14.099,11.51,12.586,516026,0
09-08-2011,12.628,14.442,12.569,14.352,377993,0
10-08-2011,13.959,14.099,12.861,13.269,251407,0
11-08-2011,12.978,14.293,12.861,14.242,220191,0
12-08-2011,14.123,15.162,14.123,15.139,160004,0
15-08-2011,15.421,16.127,15.421,16.039,98992,0
16-08-2011,15.927,16.075,15.66,15.779,90228,0
17-08-2011,15.829,16.075,15.673,15.859,62769,0
18-08-2011,15.519,15.519,14.946,15.036,77029,0
19-08-2011,15.057,15.315,14.7,15.205,112663,0
22-08-2011,15.614,15.614,14.596,14.681,82189,0
23-08-2011,14.924,14.963,14.462,14.924,93589,0
24-08-2011,14.776,15.308,14.776,15.19,74434,0
25-08-2011,15.242,15.474,15.223,15.427,99535,0
26-08-2011,15.302,15.785,15.302,15.688,74066,0
29-08-2011,15.927,16.253,15.867,16.171,71720,0
30-08-2011,16,16.171,15.837,16.127,57699,0
31-08-2011,16.097,16.408,15.964,15.992,114604,0
01-09-2011,16.119,16.119,15.526,15.652,153470,0
02-09-2011,15.25,15.652,15.103,15.384,58074,0
06-09-2011,15.145,15.57,14.857,15.481,111207,0
07-09-2011,15.732,15.867,15.592,15.696,123441,0
08-09-2011,15.696,15.808,15.256,15.401,200705,0
09-09-2011,15.409,15.416,14.991,15.324,115636,0
12-09-2011,15.065,15.171,14.293,14.442,106120,0
13-09-2011,14.479,14.588,14.233,14.277,89038,0
14-09-2011,14.277,14.462,14.106,14.337,69465,0
15-09-2011,14.7,14.752,14.462,14.536,96116,0
16-09-2011,14.687,14.7,14.397,14.428,67672,0
19-09-2011,14.309,14.33,14.145,14.242,72956,0
20-09-2011,14.198,14.344,13.959,13.959,82133,0
21-09-2011,14.071,14.293,13.959,14.158,85371,0
22-09-2011,13.885,14.071,13.609,13.878,116220,0
23-09-2011,13.907,14.106,13.46,13.965,75207,0
26-09-2011,14.158,14.158,13.728,14.039,76524,0
